,Ensembl,Symbol,s22mo_C_M-s06mo_C_M_logFC,s22mo_C_M-s06mo_C_M_logCPM,s22mo_C_M-s06mo_C_M_LR,s22mo_C_M-s06mo_C_M_PValue,s22mo_C_M-s06mo_C_M_FDR,s22mo_C_M-s06mo_C_M_Status,Description
12521,ENSMUSG00000076617,Ighm, 1.668823680, 6.565654608,30.427182945383,0.00000003466365815466,0.0000108286253844,UP,immunoglobulin heavy constant mu
3224,ENSMUSG00000024014,Pim1,-1.163522766, 4.149672825,30.225341991902,0.00000003846505077841,0.0000117604846742,DOWN,proviral integration site 1
13321,ENSMUSG00000095041,, 0.881628918, 4.092836260,29.972807633691,0.00000004381477634116,0.0000131170486671,UP,
4646,ENSMUSG00000027469,Tpx2, 1.109704528, 2.551074501,29.150397450774,0.00000006697200376295,0.0000196405651852,UP,TPX2, microtubule-associated
12533,ENSMUSG00000078234,Klhdc7a, 2.026430503, 1.872027181,29.082943990278,0.00000006934480194241,0.0000198158845900,UP,kelch domain containing 7A
13248,ENSMUSG00000091971,Hspa1a, 1.094059255, 3.708787629,29.055675236545,0.00000007032777411916,0.0000198158845900,UP,heat shock protein 1A
3005,ENSMUSG00000022860,Chodl,-1.036088079, 3.002788798,28.939887793899,0.00000007465954960933,0.0000206318793824,DOWN,chondrolectin
9910,ENSMUSG00000046805,Mpeg1, 1.144241044, 2.447986310,28.870087759628,0.00000007739900735274,0.0000209853535030,UP,macrophage expressed gene 1
7396,ENSMUSG00000034958,Atcay,-1.374767523, 3.058055612,28.771655089553,0.00000008143425410912,0.0000216705598435,DOWN,ataxia, cerebellar, Cayman type
2635,ENSMUSG00000022037,Clu, 0.632146826, 5.425133293,28.452423435632,0.00000009602948782213,0.0000250898861819,UP,clusterin
12279,ENSMUSG00000073421,H2-Ab1, 1.023858938, 3.505651763,27.678537926834,0.00000014324315778097,0.0000367572174520,UP,histocompatibility 2, class II antigen A, beta 1
10333,ENSMUSG00000050052,Tdrp, 0.718952394, 3.950722933,27.592067839951,0.00000014979178816187,0.0000377632981734,UP,testis development related protein
5899,ENSMUSG00000030495,Slc7a10, 1.959694734, 1.491959084,27.401398034214,0.00000016531168452815,0.0000409573949426,UP,solute carrier family 7 (cationic amino acid transporter, y+ system), member 10
5830,ENSMUSG00000030278,Cidec, 1.755869700, 5.345120749,27.225876970076,0.00000018101960307824,0.0000433541949372,UP,cell death-inducing DFFA-like effector c
8335,ENSMUSG00000038583,Pln, 1.685931071, 1.285822094,27.246263886464,0.00000017912091395990,0.0000433541949372,UP,phospholamban
2387,ENSMUSG00000021453,Gadd45g, 1.755674180, 5.674261658,27.190626903644,0.00000018435025235756,0.0000434280840390,UP,growth arrest and DNA-damage-inducible 45 gamma
7931,ENSMUSG00000037242,Clic4, 0.632608376, 5.820045771,27.140313762477,0.00000018921083456927,0.0000438541885929,UP,chloride intracellular channel 4 (mitochondrial)
5283,ENSMUSG00000028927,Padi2, 0.779269448, 6.957014337,26.820055713738,0.00000022330775628561,0.0000509354358385,UP,peptidyl arginine deiminase, type II
2355,ENSMUSG00000021360,Gcnt2, 0.674770573, 4.133894606,26.778881707642,0.00000022811667772530,0.0000512193227955,UP,glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
11421,ENSMUSG00000060586,H2-Eb1, 1.194157982, 3.796779527,26.523281543709,0.00000026038109795116,0.0000566920663266,UP,histocompatibility 2, class II antigen E beta
14221,ENSMUSG00000115338,Pnp, 0.912892433, 2.743256397,26.552566870355,0.00000025646373483247,0.0000566920663266,UP,purine-nucleoside phosphorylase
8572,ENSMUSG00000039384,Dusp10,-0.988492519, 4.221140016,26.352408808034,0.00000028446391634787,0.0000610111414615,DOWN,dual specificity phosphatase 10
950,ENSMUSG00000009185,Ccl8, 2.615756417,-0.023455216,25.800422030255,0.00000037860567686343,0.0000800082878901,UP,chemokine (C-C motif) ligand 8
6669,ENSMUSG00000032338,Hcn4, 1.219276628, 1.732944123,25.588335328257,0.00000042258628565398,0.0000880081873166,UP,hyperpolarization-activated, cyclic nucleotide-gated K+ 4
13665,ENSMUSG00000101249,Gm29216,-4.998662722, 7.400588952,25.311991489737,0.00000048766754613369,0.0001001111805420,DOWN,predicted gene 29216
6295,ENSMUSG00000031523,Dlc1, 0.677232822, 4.698454141,25.086486561568,0.00000054815656365217,0.0001094029141622,UP,deleted in liver cancer 1
11915,ENSMUSG00000067786,Nnat, 2.056267677, 4.585573553,25.102705023485,0.00000054356554898594,0.0001094029141622,UP,neuronatin
6185,ENSMUSG00000031250,Tnmd,-1.356064024, 2.856260841,24.534733355853,0.00000072982298195773,0.0001436651541196,DOWN,tenomodulin
9109,ENSMUSG00000041559,Fmod,-1.326665437, 7.670179899,24.383209127384,0.00000078953858295248,0.0001533198572571,DOWN,fibromodulin
5799,ENSMUSG00000030208,Emp1, 0.578817160, 5.291203757,23.982552567549,0.00000097212655165552,0.0001862594472972,UP,epithelial membrane protein 1
1531,ENSMUSG00000018822,Sfrp5, 1.117559341, 3.985459585,23.918964496642,0.00000100477066376471,0.0001865488754136,UP,secreted frizzled-related sequence protein 5
10073,ENSMUSG00000048040,Arxes2, 2.026609891, 0.289121515,23.904054738246,0.00000101258262228694,0.0001865488754136,UP,adipocyte-related X-chromosome expressed sequence 2
11970,ENSMUSG00000068606,Gm4841, 1.234652721, 3.125698669,23.925867591859,0.00000100117428848418,0.0001865488754136,UP,predicted gene 4841
1700,ENSMUSG00000019944,Rhobtb1, 0.678434327, 5.129966783,23.810222342626,0.00000106316337195596,0.0001933880715824,UP,Rho-related BTB domain containing 1
12403,ENSMUSG00000074622,Mafb, 1.065595066, 4.859700427,23.729430309122,0.00000110874035421088,0.0001991574861251,UP,v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)
694,ENSMUSG00000005672,Kit, 1.426934082, 0.995687609,23.619738924898,0.00000117377278527893,0.0002082359867217,UP,KIT proto-oncogene receptor tyrosine kinase
1078,ENSMUSG00000012705,Retn, 1.721670233, 1.350675182,23.456886821327,0.00000127744607737641,0.0002238646357549,UP,resistin
3093,ENSMUSG00000023064,Sncg, 1.123892491, 3.918454211,23.432761869686,0.00000129356652052770,0.0002239584445781,UP,synuclein, gamma
2841,ENSMUSG00000022504,Ciita, 1.794377863, 0.382992008,23.368612239753,0.00000133743126422414,0.0002287962769869,UP,class II transactivator
10891,ENSMUSG00000055116,Arntl,-0.695231417, 3.964992225,23.322765613011,0.00000136969187184686,0.0002315584964522,DOWN,aryl hydrocarbon receptor nuclear translocator-like
5631,ENSMUSG00000029661,Col1a2,-1.007417879, 7.196093522,23.274957269651,0.00000140416448587292,0.0002346260890930,DOWN,collagen, type I, alpha 2
11530,ENSMUSG00000061780,Cfd, 1.753648302, 5.210321069,22.868334371259,0.00000173486519301041,0.0002865518715352,UP,complement factor D (adipsin)
10528,ENSMUSG00000051726,Kcnf1, 1.308196507, 3.286096237,22.812442842241,0.00000178605604934695,0.0002916548344218,UP,potassium voltage-gated channel, subfamily F, member 1
10334,ENSMUSG00000050064,Zfp697, 1.325482503, 1.591215991,22.511094381030,0.00000208933411380535,0.0003335970135043,UP,zinc finger protein 697
12630,ENSMUSG00000079017,Ifi27l2a, 1.689116444, 3.166774609,22.527658818447,0.00000207139547701873,0.0003335970135043,UP,interferon, alpha-inducible protein 27 like 2A
2563,ENSMUSG00000021892,Sh3bp5,-0.544145413, 5.365609341,22.459853861639,0.00000214581830341853,0.0003379988485206,DOWN,SH3-domain binding protein 5 (BTK-associated)
11834,ENSMUSG00000066361,Serpina3c, 1.332434308, 1.835532372,22.443696107402,0.00000216394530716045,0.0003379988485206,UP,serine (or cysteine) peptidase inhibitor, clade A, member 3C
2178,ENSMUSG00000020919,Stat5b,-0.663190120, 8.111848228,22.381515330897,0.00000223514919272669,0.0003453666010697,DOWN,signal transducer and activator of transcription 5B
412,ENSMUSG00000003031,Cdkn1b,-0.553870991, 5.415203426,21.993651215923,0.00000273553846354093,0.0004090508507848,DOWN,cyclin-dependent kinase inhibitor 1B
1440,ENSMUSG00000018169,Mfng, 1.206471835, 2.050656433,21.990063654924,0.00000274065654628076,0.0004090508507848,UP,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase
12697,ENSMUSG00000079499,6530402F18Rik, 0.859251846, 2.594442717,21.988217168718,0.00000274329452235834,0.0004090508507848,UP,RIKEN cDNA 6530402F18 gene
14246,ENSMUSG00000116207,Nnt, 0.632924987, 5.099257152,21.975755618512,0.00000276116440682882,0.0004090508507848,UP,nicotinamide nucleotide transhydrogenase
9076,ENSMUSG00000041378,Cldn5,-0.903076569, 3.826804120,21.775469410412,0.00000306493888480516,0.0004489027684621,DOWN,claudin 5
12373,ENSMUSG00000074227,Spint2, 0.910496329, 2.287519838,21.758201437626,0.00000309264955307916,0.0004489027684621,UP,serine protease inhibitor, Kunitz type 2
9962,ENSMUSG00000047205,Dusp18, 1.161163580, 4.983017398,21.700070453738,0.00000318779573893871,0.0004580862476855,UP,dual specificity phosphatase 18
2706,ENSMUSG00000022206,Npr3, 1.239796175, 4.277281523,21.632246687448,0.00000330252582469871,0.0004677659017582,UP,natriuretic peptide receptor 3
7018,ENSMUSG00000033446,Lpar6,-1.244739637, 1.502358867,21.621974974572,0.00000332025901039199,0.0004677659017582,DOWN,lysophosphatidic acid receptor 6
1548,ENSMUSG00000018927,Ccl6, 1.053155445, 2.633601568,21.535362998527,0.00000347363753385917,0.0004846230229277,UP,chemokine (C-C motif) ligand 6
14255,ENSMUSG00000116530,Gm32312, 1.748262636, 0.537737590,21.499374114048,0.00000353944165591308,0.0004890555441872,UP,predicted gene, 32312
6847,ENSMUSG00000032744,Heyl,-0.931111395, 3.001196578,21.311424413789,0.00000390397932841976,0.0005342874566609,DOWN,hairy/enhancer-of-split related with YRPW motif-like
2220,ENSMUSG00000021025,Nfkbia, 0.883442358, 4.369534933,21.125814123722,0.00000430095189343340,0.0005521438828198,UP,nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha
2782,ENSMUSG00000022383,Ppara, 0.939285567, 3.299711371,21.165595683422,0.00000421259159065961,0.0005521438828198,UP,peroxisome proliferator activated receptor alpha
4475,ENSMUSG00000027075,Slc43a1,-0.651435775, 4.424708177,21.124715689708,0.00000430341787584011,0.0005521438828198,DOWN,solute carrier family 43, member 1
6787,ENSMUSG00000032578,Cish, 1.707821267, 2.406804328,21.175807148715,0.00000419020584187107,0.0005521438828198,UP,cytokine inducible SH2-containing protein
7842,ENSMUSG00000036905,C1qb, 0.925097014, 3.420879956,21.140407418197,0.00000426832422339668,0.0005521438828198,UP,complement component 1, q subcomponent, beta polypeptide
8059,ENSMUSG00000037735,2810032G03Rik, 1.718711426, 0.586400130,21.175497617656,0.00000419088264352230,0.0005521438828198,UP,RIKEN cDNA 2810032G03 gene
10899,ENSMUSG00000055214,Pld5, 0.965668232, 2.397639536,21.152916724407,0.00000424055371488563,0.0005521438828198,UP,phospholipase D family, member 5
2268,ENSMUSG00000021136,Smoc1, 1.579628842, 2.742993816,20.971956547350,0.00000466055630480716,0.0005926742840715,UP,SPARC related  modular calcium binding 1
10210,ENSMUSG00000049112,Oxtr, 1.984498780, 1.082994491,20.954403716232,0.00000470345395132310,0.0005928827480747,UP,oxytocin receptor
4385,ENSMUSG00000026834,Acvr1c, 2.377015155, 0.400983422,20.901658294018,0.00000483475867114436,0.0006041346269943,UP,activin A receptor, type IC
3064,ENSMUSG00000023004,Tuba1b, 0.629156372, 5.292107479,20.849628507207,0.00000496788602939589,0.0006154182951933,UP,tubulin, alpha 1B
4958,ENSMUSG00000028211,Trp53inp1, 0.741297468, 3.620391600,20.783161494443,0.00000514331962708261,0.0006317051541981,UP,transformation related protein 53 inducible nuclear protein 1
3254,ENSMUSG00000024074,Crim1, 0.669899647, 6.552184954,20.736966104138,0.00000526889788094715,0.0006416445978747,UP,cysteine rich transmembrane BMP regulator 1 (chordin like)
8672,ENSMUSG00000039787,Cercam,-1.577147724, 2.065674280,20.601265866278,0.00000565587043350477,0.0006829820010879,DOWN,cerebral endothelial cell adhesion molecule
10508,ENSMUSG00000051506,Wdfy4, 1.350501345, 1.006632525,20.568966540176,0.00000575210495448017,0.0006888145682990,UP,WD repeat and FYVE domain containing 4
3011,ENSMUSG00000022878,Adipoq, 1.614468181, 5.004975267,20.491429376632,0.00000598988620382130,0.0007073848054724,UP,adiponectin, C1Q and collagen domain containing
3022,ENSMUSG00000022895,Ets2,-0.606172720, 5.467005944,20.486404176390,0.00000600563300401032,0.0007073848054724,DOWN,E26 avian leukemia oncogene 2, 3' domain
2724,ENSMUSG00000022246,Rai14, 0.652632764, 3.504441426,20.463840985893,0.00000607684997341140,0.0007099539359181,UP,retinoic acid induced 14
476,ENSMUSG00000003526,Prodh,-0.757091119, 3.441505161,20.373166734302,0.00000637170016510667,0.0007383978336499,DOWN,proline dehydrogenase
2469,ENSMUSG00000021668,Polk, 0.720795788, 3.103956678,20.233478850473,0.00000685428350522316,0.0007879684317605,UP,polymerase (DNA directed), kappa
4192,ENSMUSG00000026395,Ptprc, 1.405166402, 1.577031806,20.189754148482,0.00000701275429038973,0.0007997879297849,UP,protein tyrosine phosphatase, receptor type, C
5987,ENSMUSG00000030707,Coro1a, 1.073094137, 2.094746298,20.065451177364,0.00000748364435271126,0.0008432697769959,UP,coronin, actin binding protein 1A
7626,ENSMUSG00000035992,Fnip1, 0.570136312, 6.137763489,20.058376537377,0.00000751138005953195,0.0008432697769959,UP,folliculin interacting protein 1
217,ENSMUSG00000001656,Hoxc11,-0.670402706, 3.647881877,19.997138965584,0.00000775581219956153,0.0008639614054860,DOWN,homeobox C11
91,ENSMUSG00000000753,Serpinf1,-0.755318059, 5.575246066,19.976792319554,0.00000783878143586612,0.0008664868402569,DOWN,serine (or cysteine) peptidase inhibitor, clade F, member 1
4375,ENSMUSG00000026819,Slc25a25, 1.448037246, 6.056526203,19.944219180180,0.00000797346682278349,0.0008680205927530,UP,solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25
6181,ENSMUSG00000031239,Itm2a,-0.494803573, 5.728589140,19.944291333729,0.00000797316592509774,0.0008680205927530,DOWN,integral membrane protein 2A
5971,ENSMUSG00000030671,Pde3b, 1.078362784, 2.562058724,19.854606182792,0.00000835611410668542,0.0009028372910757,UP,phosphodiesterase 3B, cGMP-inhibited
7834,ENSMUSG00000036887,C1qa, 0.933045293, 3.576667449,19.662663731500,0.00000923889794389591,0.0009907683839835,UP,complement component 1, q subcomponent, alpha polypeptide
3635,ENSMUSG00000024972,Lgals12, 1.948194647, 1.354617218,19.643643609575,0.00000933132113464428,0.0009932672941099,UP,lectin, galactose binding, soluble 12
12633,ENSMUSG00000079022,Col22a1,-0.690195667, 4.279408204,19.592472890206,0.00000958460615284666,0.0010127264001206,DOWN,collagen, type XXII, alpha 1
8480,ENSMUSG00000039084,Chad,-1.450584829, 4.171836444,19.551013706279,0.00000979487485458685,0.0010273894281782,DOWN,chondroadherin
9768,ENSMUSG00000045730,Adrb2, 0.850519780, 3.595722742,19.530592557340,0.00000990014122346956,0.0010309060100091,UP,adrenergic receptor, beta 2
1588,ENSMUSG00000019326,Aoc3, 1.134610057, 4.229119540,19.452799927827,0.00001031165657544303,0.0010660324099936,UP,amine oxidase, copper containing 3
11442,ENSMUSG00000060802,B2m, 0.553728307, 5.839708714,19.269508412407,0.00001135046265816007,0.0011650439171269,UP,beta-2 microglobulin
11007,ENSMUSG00000056313,Tcim, 0.935799576, 3.738167858,19.044882234417,0.00001276797317860042,0.0013012466282020,UP,transcriptional and immune response regulator
4656,ENSMUSG00000027496,Aurka, 0.931514810, 2.458500438,18.967017398113,0.00001329977231668988,0.0013458994943016,UP,aurora kinase A
4166,ENSMUSG00000026315,Serpinb8, 1.300052523, 0.929412887,18.914122253295,0.00001367366845185287,0.0013551076941595,UP,serine (or cysteine) peptidase inhibitor, clade B, member 8
11001,ENSMUSG00000056258,Kcnq3, 1.648860327, 0.693810145,18.916037013070,0.00001365995133185229,0.0013551076941595,UP,potassium voltage-gated channel, subfamily Q, member 3
13191,ENSMUSG00000090698,Apold1, 1.620960138, 0.220249467,18.927163763917,0.00001358051360625653,0.0013551076941595,UP,apolipoprotein L domain containing 1
2325,ENSMUSG00000021268,Meg3,-0.998587505, 4.007029325,18.835155017664,0.00001425159601938682,0.0013837529378283,DOWN,maternally expressed 3
5983,ENSMUSG00000030701,Plekhb1, 0.576296698, 6.526203108,18.847498357765,0.00001415966846985513,0.0013837529378283,UP,pleckstrin homology domain containing, family B (evectins) member 1
11015,ENSMUSG00000056423,Uts2b, 1.957326741,-0.149096029,18.839518356319,0.00001421903157709236,0.0013837529378283,UP,urotensin 2B
13865,ENSMUSG00000106847,Peg13, 0.476193014, 5.588613252,18.795943830643,0.00001454761851298313,0.0014030152888025,UP,paternally expressed 13
9499,ENSMUSG00000043613,Mmp3, 2.038790161,-0.374214022,18.773704164372,0.00001471825211494348,0.0014100085526116,UP,matrix metallopeptidase 3
4312,ENSMUSG00000026675,Hsd17b7, 0.782110070, 3.700995996,18.741641270801,0.00001496779868853353,0.0014183403620247,UP,hydroxysteroid (17-beta) dehydrogenase 7
9726,ENSMUSG00000045312,Lhfpl2, 1.091993259, 2.628939267,18.737209248912,0.00001500262595878570,0.0014183403620247,UP,lipoma HMGIC fusion partner-like 2
2024,ENSMUSG00000020627,Klhl29, 0.799987945, 2.869411515,18.617697859610,0.00001597308030219606,0.0015002167577945,UP,kelch-like 29
3020,ENSMUSG00000022893,Adamts1,-1.103287836, 5.827690850,18.589270019201,0.00001621305511623758,0.0015128675455866,DOWN,a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1
519,ENSMUSG00000003948,Mmd, 0.859253886, 4.430167272,18.496750916560,0.00001701941893171534,0.0015582726466383,UP,monocyte to macrophage differentiation-associated
1890,ENSMUSG00000020340,Cyfip2, 1.436793811, 3.572084578,18.495177534856,0.00001703347481315582,0.0015582726466383,UP,cytoplasmic FMR1 interacting protein 2
3482,ENSMUSG00000024610,Cd74, 0.912410390, 5.215336080,18.484028668417,0.00001713340836248071,0.0015582726466383,UP,CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated
11411,ENSMUSG00000060477,Irak2, 0.847800209, 2.842188380,18.507376815470,0.00001692479649932734,0.0015582726466383,UP,interleukin-1 receptor-associated kinase 2
6856,ENSMUSG00000032788,Pdxk, 0.601471397, 3.591626473,18.437646331962,0.00001755552058882996,0.0015866215777452,UP,pyridoxal (pyridoxine, vitamin B6) kinase
10472,ENSMUSG00000051314,Ffar2, 2.114653104,-0.243344321,18.319190284646,0.00001868158013334340,0.0016695660017471,UP,free fatty acid receptor 2
10869,ENSMUSG00000054863,Tafa5, 0.829042070, 2.929320273,18.316737740164,0.00001870564553105713,0.0016695660017471,UP,TAFA chemokine like family member 5
2616,ENSMUSG00000021998,Lcp1, 0.967925252, 2.735905672,18.283556762645,0.00001903430869743421,0.0016884136789020,UP,lymphocyte cytosolic protein 1
6637,ENSMUSG00000032285,Dnaja4, 0.778883522, 6.504707886,18.270873103631,0.00001916146960920604,0.0016892657563453,UP,DnaJ heat shock protein family (Hsp40) member A4
4684,ENSMUSG00000027560,Dok5, 1.420085371, 0.806079918,18.061880059528,0.00002138401332712141,0.0018508572518345,UP,docking protein 5
8285,ENSMUSG00000038451,Spsb2,-0.828143268, 2.449507870,18.050730070653,0.00002150961454811151,0.0018508572518345,DOWN,splA/ryanodine receptor domain and SOCS box containing 2
10961,ENSMUSG00000055866,Per2, 0.785514173, 4.174871234,18.083134179323,0.00002114662945035176,0.0018508572518345,UP,period circadian clock 2
11073,ENSMUSG00000056973,Ces1d, 0.738531550, 4.838026497,18.065171732215,0.00002134707470498926,0.0018508572518345,UP,carboxylesterase 1D
826,ENSMUSG00000006800,Sulf2, 0.649586975, 3.784030342,17.985173791120,0.00002226322147626732,0.0018952410851154,UP,sulfatase 2
10894,ENSMUSG00000055148,Klf2, 0.795729025, 3.829938525,17.982954227211,0.00002228919578180291,0.0018952410851154,UP,Kruppel-like factor 2 (lung)
