,Ensembl,Symbol,s28mo_C_F-s06mo_C_F_logFC,s28mo_C_F-s06mo_C_F_logCPM,s28mo_C_F-s06mo_C_F_LR,s28mo_C_F-s06mo_C_F_PValue,s28mo_C_F-s06mo_C_F_FDR,s28mo_C_F-s06mo_C_F_Status,Description
5918,ENSMUSG00000030546,Plin1,2.7468215381,4.04727853,69.565098119773893,7e-17,4.245e-14,UP,perilipin 1
6409,ENSMUSG00000031762,Mt2,2.2283517014,3.03641664,68.542040184396,1.2e-16,6.857e-14,UP,metallothionein 2
12341,ENSMUSG00000074207,Adh1,1.3502222097,4.19836335,68.1384757387577,1.5e-16,8.103e-14,UP,alcohol dehydrogenase 1 (class I)
12408,ENSMUSG00000074794,Arrdc3,2.072059546,6.32678473,67.8944639655487,1.7e-16,8.842e-14,UP,arrestin domain containing 3
4901,ENSMUSG00000028076,Cd1d1,2.411415832,1.65887629,64.078199765756,1.19e-15,5.919e-13,UP,CD1d1 antigen
9257,ENSMUSG00000042254,Cilp,1.9685512888,5.90766655,63.9848891817619,1.25e-15,5.9992e-13,UP,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase"
10063,ENSMUSG00000048040,Arxes2,4.1061724644,1.94972095,63.6770428789813,1.46e-15,6.7877e-13,UP,adipocyte-related X-chromosome expressed sequence 2
3299,ENSMUSG00000024164,C3,2.4469698911,6.23444049,63.3240598690665,1.75e-15,7.866e-13,UP,complement component 3
11511,ENSMUSG00000061780,Cfd,3.0504834811,6.36004275,62.8729041772224,2.2e-15,9.591e-13,UP,complement factor D (adipsin)
5827,ENSMUSG00000030278,Cidec,3.1038417147,4.74755625,61.7991329718147,3.8e-15,1.60582e-12,UP,cell death-inducing DFFA-like effector c
1301,ENSMUSG00000016194,Hsd11b1,2.0757016942,2.97407224,61.6989797019484,4e-15,1.64134e-12,UP,hydroxysteroid 11-beta dehydrogenase 1
8516,ENSMUSG00000039196,Orm1,4.9880672411,1.27527131,60.6763232839474,6.72e-15,2.68256e-12,UP,orosomucoid 1
10129,ENSMUSG00000048489,Depp1,4.195501883,5.29484927,59.8914081720239,1.002e-14,3.88896e-12,UP,DEPP1 autophagy regulator
5966,ENSMUSG00000030671,Pde3b,2.301893847,3.02163582,59.5890113459456,1.168e-14,4.41552e-12,UP,"phosphodiesterase 3B, cGMP-inhibited"
4668,ENSMUSG00000027513,Pck1,3.5761691983,5.19370689,59.3247861226071,1.336e-14,4.92052e-12,UP,"phosphoenolpyruvate carboxykinase 1, cytosolic"
774,ENSMUSG00000006369,Fbln1,1.8882838906,3.16246085,57.8642736721678,2.808e-14,1.00787e-11,UP,fibulin 1
10663,ENSMUSG00000052974,Cyp2f2,4.3385888782,1.10267005,57.784648830274,2.924e-14,1.023907e-11,UP,"cytochrome P450, family 2, subfamily f, polypeptide 2"
1593,ENSMUSG00000019326,Aoc3,1.8211695128,4.09442406,57.6442448434629,3.14e-14,1.073482e-11,UP,"amine oxidase, copper containing 3"
11021,ENSMUSG00000056501,Cebpb,1.3577171908,6.18343265,57.2031367906018,3.93e-14,1.312126e-11,UP,"CCAAT/enhancer binding protein (C/EBP), beta"
4905,ENSMUSG00000028082,Sh3d19,1.4472571425,3.70060531,56.6049650877389,5.327e-14,1.738166e-11,UP,SH3 domain protein D19
9825,ENSMUSG00000046275,Trarg1,1.7803578676,2.29187832,56.3975919513261,5.92e-14,1.88857e-11,UP,trafficking regulator of GLUT4 (SLC2A4) 1
11046,ENSMUSG00000056749,Nfil3,1.3024680093,5.38488425,56.1835378089364,6.601e-14,2.060002e-11,UP,"nuclear factor, interleukin 3, regulated"
3044,ENSMUSG00000022952,Runx1,2.3177892501,2.18971978,56.0597811828375,7.03e-14,2.147159e-11,UP,runt related transcription factor 1
12249,ENSMUSG00000073375,Lrrc30,1.4735823047,6.63380145,55.7960390822852,8.039e-14,2.404263e-11,UP,leucine rich repeat containing 30
7881,ENSMUSG00000037071,Scd1,5.0337387869,9.02098103,55.4495487944317,9.588e-14,2.809147e-11,UP,stearoyl-Coenzyme A desaturase 1
7240,ENSMUSG00000034361,Cpne2,1.7135523915,4.05159829,55.0858873814709,1.1537e-13,3.312455e-11,UP,copine II
7709,ENSMUSG00000036390,Gadd45a,1.9873621433,5.9039125,54.008379469816,1.9963e-13,5.619177e-11,UP,growth arrest and DNA-damage-inducible 45 alpha
2391,ENSMUSG00000021453,Gadd45g,2.2150463853,5.61153234,52.7775078794475,3.7355e-13,1.0312264e-10,UP,growth arrest and DNA-damage-inducible 45 gamma
12602,ENSMUSG00000078972,Gm15557,5.1979736126,-0.22567729,52.375352851473,4.5844e-13,1.241685e-10,UP,predicted gene 15557
255,ENSMUSG00000001918,Slc1a5,1.6476191197,4.59928706,52.0953404764453,5.287e-13,1.3877444e-10,UP,"solute carrier family 1 (neutral amino acid transporter), member 5"
13135,ENSMUSG00000090231,Cfb,2.211028771,2.35316981,52.0842279573594,5.317e-13,1.3877444e-10,UP,complement factor B
3016,ENSMUSG00000022878,Adipoq,3.1417302902,4.42983903,51.9791198844452,5.6093e-13,1.4379087e-10,UP,"adiponectin, C1Q and collagen domain containing"
6339,ENSMUSG00000031613,Hpgd,2.1897928267,1.78619162,51.5383425683788,7.0212e-13,1.7682428e-10,UP,hydroxyprostaglandin dehydrogenase 15 (NAD)
5644,ENSMUSG00000029685,Asb15,1.1598566678,6.97133253,50.7117431370674,1.06977e-12,2.6476949e-10,UP,ankyrin repeat and SOCS box-containing 15
175,ENSMUSG00000001348,Acp5,3.7845537981,1.8696543,49.958929398833,1.56997e-12,3.8198406e-10,UP,"acid phosphatase 5, tartrate resistant"
8221,ENSMUSG00000038259,Gdf5,3.9406969988,0.61830673,49.6325615528153,1.8541e-12,4.4359532e-10,UP,growth differentiation factor 5
500,ENSMUSG00000003746,Man1a,1.2192144226,3.95596784,48.7724719271604,2.87446e-12,6.5766149e-10,UP,"mannosidase 1, alpha"
2921,ENSMUSG00000022665,Ccdc80,1.3848460142,4.43880944,48.8115618719769,2.81773e-12,6.5766149e-10,UP,coiled-coil domain containing 80
10601,ENSMUSG00000052459,Atp6v1a,1.0467576807,4.98870192,48.7644184319042,2.88628e-12,6.5766149e-10,UP,"ATPase, H+ transporting, lysosomal V1 subunit A"
4182,ENSMUSG00000026365,Cfh,1.7198420299,3.05783242,48.7111778132984,2.96571e-12,6.6520022e-10,UP,complement component factor h
3503,ENSMUSG00000024664,Fads3,1.4357856147,2.94910283,48.5113928888762,3.28375e-12,7.2520496e-10,UP,fatty acid desaturase 3
2578,ENSMUSG00000021903,Galnt15,1.3494164601,4.86866309,48.14517360956,3.95801e-12,8.6086932e-10,UP,polypeptide N-acetylgalactosaminyltransferase 15
2392,ENSMUSG00000021456,Fbp2,-1.1775118622,6.96063785,47.8404043667989,4.62364e-12,9.9063317e-10,DOWN,fructose bisphosphatase 2
5896,ENSMUSG00000030495,Slc7a10,3.0305078472,1.79383755,47.6035044930908,5.21751e-12,1.10143231e-9,UP,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 10"
9108,ENSMUSG00000041577,Prelp,1.475424843,5.16193674,47.4654182248535,5.59828e-12,1.16468741e-9,UP,proline arginine-rich end leucine-rich repeat
12606,ENSMUSG00000079017,Ifi27l2a,1.9911304272,2.61187657,47.1272743894408,6.65235e-12,1.3642071e-9,UP,"interferon, alpha-inducible protein 27 like 2A"
12354,ENSMUSG00000074264,Amy1,1.0830027957,6.0185883,46.9944011063254,7.11897e-12,1.43933709e-9,UP,"amylase 1, salivary"
11189,ENSMUSG00000058297,Spock2,1.3341301395,3.55527198,46.4365805173459,9.46322e-12,1.88673024e-9,UP,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2"
1386,ENSMUSG00000017493,Igfbp4,1.1874739333,5.78528235,46.2770412558288,1.026598e-11,2.01874309e-9,UP,insulin-like growth factor binding protein 4
2566,ENSMUSG00000021876,Rnase4,1.1415925065,4.27945055,46.1143537643974,1.115482e-11,2.16388442e-9,UP,"ribonuclease, RNase A family 4"
10364,ENSMUSG00000050335,Lgals3,1.7526256473,2.70610801,45.959960909607,1.206946e-11,2.31009625e-9,UP,"lectin, galactose binding, soluble 3"
248,ENSMUSG00000001864,Aif1l,1.8292503872,2.93159702,45.7813478393059,1.322164e-11,2.49732596e-9,UP,allograft inflammatory factor 1-like
936,ENSMUSG00000008845,Cd163,2.103048894,3.58411533,45.606790854738,1.445396e-11,2.69463116e-9,UP,CD163 antigen
10078,ENSMUSG00000048142,Nat8l,2.6386484974,1.48922936,45.3249500579285,1.669092e-11,3.07177151e-9,UP,N-acetyltransferase 8-like
9742,ENSMUSG00000045573,Penk,1.9092846319,1.69729032,45.20967721228,1.770281e-11,3.21675855e-9,UP,preproenkephalin
11858,ENSMUSG00000067149,Jchain,3.7616670198,0.69940528,44.5959274601288,2.421949e-11,4.3458851e-9,UP,immunoglobulin joining chain
401,ENSMUSG00000002910,Arrdc2,1.6039471042,6.312264,44.2861075843868,2.837225e-11,5.02819444e-9,UP,arrestin domain containing 2
13279,ENSMUSG00000094365,Gm21982,6.9467114331,-1.05305614,44.0378546574462,3.220861e-11,5.63847236e-9,UP,predicted gene 21982
4002,ENSMUSG00000025934,Gsta3,4.4129376346,0.1565807,44.0049403315666,3.27548e-11,5.66500339e-9,UP,"glutathione S-transferase, alpha 3"
2418,ENSMUSG00000021508,Cxcl14,1.2730495525,4.98765564,43.9797677426745,3.317877e-11,5.67001614e-9,UP,chemokine (C-X-C motif) ligand 14
3706,ENSMUSG00000025153,Fasn,5.1727838054,7.58530793,43.8653864433281,3.517549e-11,5.9405205e-9,UP,fatty acid synthase
8120,ENSMUSG00000037977,6430571L13Rik,-1.1245718864,4.76359344,43.1736040266791,5.009192e-11,8.36127433e-9,DOWN,RIKEN cDNA 6430571L13 gene
8765,ENSMUSG00000040152,Thbs1,1.9696100481,3.61130573,42.50421642346,7.053001e-11,1.163745268e-8,UP,thrombospondin 1
7295,ENSMUSG00000034593,Myo5a,1.1298107393,4.18069663,42.3600306349292,7.592593e-11,1.238541778e-8,UP,myosin VA
6225,ENSMUSG00000031373,Car5b,3.4144595972,2.52454079,42.2163333551884,8.171468e-11,1.317993616e-8,UP,"carbonic anhydrase 5b, mitochondrial"
2873,ENSMUSG00000022548,Apod,2.0939414992,5.99147881,41.8803670320343,9.703204e-11,1.54766104e-8,UP,apolipoprotein D
10260,ENSMUSG00000049537,Tecrl,4.2303935452,-0.59766052,41.7773586558059,1.0228099e-10,1.613454589e-8,UP,"trans-2,3-enoyl-CoA reductase-like"
3552,ENSMUSG00000024803,Ankrd1,1.1491981839,4.45660864,41.7497713428543,1.0373438e-10,1.618594622e-8,UP,ankyrin repeat domain 1 (cardiac muscle)
10070,ENSMUSG00000048096,Lmod1,-1.1565784612,4.28190085,41.4801308410618,1.1907503e-10,1.837980823e-8,DOWN,leiomodin 1 (smooth muscle)
2714,ENSMUSG00000022206,Npr3,1.43174277,3.90025681,40.9991288797661,1.5229708e-10,2.325770928e-8,UP,natriuretic peptide receptor 3
3266,ENSMUSG00000024087,Cyp1b1,2.2146374206,1.14502556,40.7113943012833,1.7645526e-10,2.66633199e-8,UP,"cytochrome P450, family 1, subfamily b, polypeptide 1"
8712,ENSMUSG00000039956,Mrap,3.9137746755,0.59544212,39.8283139645408,2.7729597e-10,4.146441394e-8,UP,melanocortin 2 receptor accessory protein
13298,ENSMUSG00000095079,Igha,8.6912370883,0.47199834,39.635816417595,3.0601917e-10,4.528768243e-8,UP,immunoglobulin heavy constant alpha
4388,ENSMUSG00000026834,Acvr1c,2.8445012893,0.83841132,39.3473342247779,3.5473683e-10,5.196170638e-8,UP,"activin A receptor, type IC"
2142,ENSMUSG00000020844,Nxn,0.9053849637,5.69919485,39.3192778140303,3.5987072e-10,5.218125516e-8,UP,nucleoredoxin
3431,ENSMUSG00000024481,Lvrn,1.5814640073,2.72328075,39.0959135877606,4.0348764e-10,5.792065127e-8,UP,laeverin
10602,ENSMUSG00000052477,C130026I21Rik,6.6418904025,-1.2911873,38.6743698386195,5.0074134e-10,7.116972314e-8,UP,RIKEN cDNA C130026I21 gene
4314,ENSMUSG00000026674,Ddr2,1.0344996997,4.18424262,38.3060455092771,6.0475003e-10,8.510967385e-8,UP,"discoidin domain receptor family, member 2"
3485,ENSMUSG00000024610,Cd74,1.0178625225,5.01120371,37.8143161530928,7.7808673e-10,1.084411174e-7,UP,"CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated"
2596,ENSMUSG00000021943,Gdf10,1.8194154948,1.82910773,37.7010981389083,8.2458128e-10,1.1381600333e-7,UP,growth differentiation factor 10
700,ENSMUSG00000005686,Ampd3,1.193569464,5.11343106,37.6735531218858,8.3630756e-10,1.1433519151e-7,UP,adenosine monophosphate deaminase 3
3275,ENSMUSG00000024109,Nrxn1,4.2289184970000004,0.41384327,37.035533666882,1.1599598e-9,1.5708700891e-7,UP,neurexin I
11010,ENSMUSG00000056427,Slit3,1.4005883422,3.12626304,36.8320115615408,1.28758631e-9,1.7274113663e-7,UP,slit guidance ligand 3
914,ENSMUSG00000008348,Ubc,0.9815331843,7.88055844,36.7766780561203,1.32465451e-9,1.7606866223e-7,UP,ubiquitin C
6277,ENSMUSG00000031489,Adrb3,2.4564306005,0.77320205,36.721395634922,1.36275554e-9,1.7947115505e-7,UP,"adrenergic receptor, beta 3"
8471,ENSMUSG00000039062,Anpep,1.1849801475,3.03754268,36.6486487346376,1.41457038e-9,1.8460143497e-7,UP,alanyl (membrane) aminopeptidase
5254,ENSMUSG00000028862,Map3k6,1.3164534742,2.99321945,36.6003764237689,1.45003714e-9,1.875250737e-7,UP,mitogen-activated protein kinase kinase kinase 6
9495,ENSMUSG00000043613,Mmp3,3.8323260718,-0.33843119,36.4198979555451,1.59070954e-9,2.0388067489e-7,UP,matrix metallopeptidase 3
2897,ENSMUSG00000022591,Gm9747,-0.9525092196,5.42066956,36.3061555229698,1.68630418e-9,2.1179674043e-7,DOWN,predicted gene 9747
3126,ENSMUSG00000023224,Serping1,1.0803114486,5.22109594,36.3064196012691,1.6860757e-9,2.1179674043e-7,UP,"serine (or cysteine) peptidase inhibitor, clade G, member 1"
3635,ENSMUSG00000024972,Lgals12,2.4592098916,1.60212887,36.2941378140344,1.69673459e-9,2.1179674043e-7,UP,"lectin, galactose binding, soluble 12"
3746,ENSMUSG00000025225,Nfkb2,0.924950915,4.70537505,35.8975457161321,2.07970519e-9,2.5736351817e-7,UP,"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100"
2174,ENSMUSG00000020908,Myh3,1.2456464442,3.30328743,35.7604677239567,2.23129863e-9,2.7336057603e-7,UP,"myosin, heavy polypeptide 3, skeletal muscle, embryonic"
9010,ENSMUSG00000041120,Nbl1,0.9509934648,4.31117107,35.7303139083346,2.26610299e-9,2.7336057603e-7,UP,"NBL1, DAN family BMP antagonist"
10106,ENSMUSG00000048355,Arxes1,3.445849209,-0.65099762,35.7324183267008,2.26365647e-9,2.7336057603e-7,UP,adipocyte-related X-chromosome expressed sequence 1
6613,ENSMUSG00000032232,Cgnl1,1.4718016029,3.37416963,35.6530734636812,2.35775606e-9,2.8204656954e-7,UP,cingulin-like 1
5495,ENSMUSG00000029381,Shroom3,1.8854274644,1.09264027,35.4562740355619,2.60840837e-9,3.0945208452e-7,UP,shroom family member 3
7553,ENSMUSG00000035686,Thrsp,3.674135228,4.61310347,35.3471025993774,2.7587867e-9,3.2197059446e-7,UP,thyroid hormone responsive
11997,ENSMUSG00000069516,Lyz2,1.4420378358,5.15446909,35.3613427347558,2.73868963e-9,3.2197059446e-7,UP,lysozyme 2
3242,ENSMUSG00000024052,Lpin2,1.5533842384,2.32557157,35.331193195122,2.78141431e-9,3.2199356829e-7,UP,lipin 2
5801,ENSMUSG00000030218,Mgp,1.4245543711,4.65435725,34.6925370820513,3.86108919e-9,4.434074833e-7,UP,matrix Gla protein
12151,ENSMUSG00000071637,Cebpd,2.4709323041,5.63360574,34.4343812080806,4.40866384e-9,5.0227277401e-7,UP,"CCAAT/enhancer binding protein (C/EBP), delta"
4536,ENSMUSG00000027221,Chst1,1.5424831121,2.26204107,34.2275292406967,4.9030427e-9,5.5419825213e-7,UP,carbohydrate sulfotransferase 1
9561,ENSMUSG00000044167,Foxo1,1.0729088563,5.14700443,34.1711460314895,5.04717936e-9,5.6603327968e-7,UP,forkhead box O1
6245,ENSMUSG00000031400,G6pdx,1.4583498958,2.37762267,33.6941802620526,6.44933458e-9,7.1767595342e-7,UP,glucose-6-phosphate dehydrogenase X-linked
9900,ENSMUSG00000046805,Mpeg1,1.641633208,2.42026044,33.4721756178339,7.2290814e-9,7.9825741168e-7,UP,macrophage expressed gene 1
4228,ENSMUSG00000026473,Glul,1.8753365874,8.7454815,33.4097406488992,7.46491493e-9,8.1069007802e-7,UP,glutamate-ammonia ligase (glutamine synthetase)
5926,ENSMUSG00000030562,Nox4,2.29955133,0.78056411,33.4111164119753,7.45963619e-9,8.1069007802e-7,UP,NADPH oxidase 4
8678,ENSMUSG00000039824,Myl6b,1.2467367676,3.14636591,33.3977462155418,7.51109581e-9,8.1069007802e-7,UP,"myosin, light polypeptide 6B"
2864,ENSMUSG00000022533,Atp13a3,0.9182612681,5.47361359,33.3568954333405,7.67053666e-9,8.2090327612e-7,UP,ATPase type 13A3
6081,ENSMUSG00000030935,Acsm3,3.4295620161000002,1.21820716,33.3443714378937,7.7200935e-9,8.2090327612e-7,UP,acyl-CoA synthetase medium-chain family member 3
412,ENSMUSG00000002985,Apoe,1.5732772325,7.02840862,32.9125570605838,9.63985957e-9,1.01549121359e-6,UP,apolipoprotein E
11855,ENSMUSG00000067081,Asb18,-0.8341161989,4.4705564,32.9021591945874,9.69155668e-9,1.01549121359e-6,DOWN,ankyrin repeat and SOCS box-containing 18
5665,ENSMUSG00000029752,Asns,2.107174105,0.96604226,32.6788893966747,1.087115422e-8,1.13083636863e-6,UP,asparagine synthetase
2243,ENSMUSG00000021069,Pygl,3.2924325667,2.82106549,32.3462451777402,1.290062496e-8,1.32277479585e-6,UP,liver glycogen phosphorylase
11392,ENSMUSG00000060429,Sntb1,-1.1546522294,3.76658963,32.3515706348494,1.286531793e-8,1.32277479585e-6,DOWN,"syntrophin, basic 1"
829,ENSMUSG00000006800,Sulf2,1.2397658953,3.32060866,32.1020093946031,1.462859334e-8,1.48931530144e-6,UP,sulfatase 2
520,ENSMUSG00000003948,Mmd,0.9330908517,4.16190209,31.7977326308489,1.710923574e-8,1.71750404978e-6,UP,monocyte to macrophage differentiation-associated
1569,ENSMUSG00000019102,Aldh3a1,2.6887816447,0.75911118,31.7978900368717,1.710784922e-8,1.71750404978e-6,UP,"aldehyde dehydrogenase family 3, subfamily A1"
5553,ENSMUSG00000029482,Aacs,2.1732024319,3.06040358,31.6983163807827,1.800782417e-8,1.79515497279e-6,UP,acetoacetyl-CoA synthetase
12297,ENSMUSG00000073730,Ppp1r14bl,2.3917157577,2.61518059,31.6476142157157,1.8484153780000002e-08,1.82993122509e-6,UP,"protein phosphatase 1, regulatory inhibitor subunit 14B like"
8350,ENSMUSG00000038642,Ctss,1.7523347669,2.39798711,31.5651539416384,1.92859447e-8,1.89623107048e-6,UP,cathepsin S
3103,ENSMUSG00000023078,Cxcl13,5.5871747754,0.58627748,31.4660087397525,2.029623224e-8,1.98198920999e-6,UP,chemokine (C-X-C motif) ligand 13
923,ENSMUSG00000008540,Mgst1,1.6677738773,3.95665287,31.4435469405925,2.053238635e-8,1.99150274392e-6,UP,microsomal glutathione S-transferase 1
6390,ENSMUSG00000031725,Ces1f,3.6108204718,0.33423645,31.218205252,2.305933896e-8,2.22158933424e-6,UP,carboxylesterase 1F
4267,ENSMUSG00000026574,Dpt,0.9790189458,5.07467402,31.166016074964,2.368768736e-8,2.26691168043e-6,UP,dermatopontin
3450,ENSMUSG00000024529,Lox,1.054693635,3.32864567,31.1295624858596,2.413672904e-8,2.29458771816e-6,UP,lysyl oxidase
3359,ENSMUSG00000024292,Cyp4f14,2.7316253754,-0.51007331,31.0567347758002,2.505953107e-8,2.35117365121e-6,UP,"cytochrome P450, family 4, subfamily f, polypeptide 14"
5351,ENSMUSG00000029053,Prkcz,1.3692668478,2.29500376,31.0571616250729,2.505402078e-8,2.35117365121e-6,UP,"protein kinase C, zeta"
5689,ENSMUSG00000029816,Gpnmb,2.1548971353,2.56219086,31.0325438565574,2.537380922e-8,2.36520150261e-6,UP,glycoprotein (transmembrane) nmb
7925,ENSMUSG00000037242,Clic4,0.8614166086,5.68524716,30.7974390316842,2.864156003e-8,2.6525780277e-6,UP,chloride intracellular channel 4 (mitochondrial)
7761,ENSMUSG00000036594,H2-Aa,1.0266926851,3.5844126,30.7607942378787,2.918756991e-8,2.68581773199e-6,UP,"histocompatibility 2, class II antigen A, alpha"
7103,ENSMUSG00000033849,B3galt2,2.3985381102,2.27316959,30.4492182654487,3.42721408e-8,3.1336087981e-6,UP,"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2"
9437,ENSMUSG00000043122,A530016L24Rik,1.732174961,1.47198327,30.3260420019142,3.651898009e-8,3.31791113492e-6,UP,RIKEN cDNA A530016L24 gene
12789,ENSMUSG00000084349,Rpl3-ps1,0.9219528166,3.62122816,30.2219241432946,3.853289472e-8,3.47886606113e-6,UP,"ribosomal protein L3, pseudogene 1"
8702,ENSMUSG00000039911,Spsb1,1.3741522131,3.74212818,30.0503078288926,4.209817001e-8,3.77699519128e-6,UP,splA/ryanodine receptor domain and SOCS box containing 1
10683,ENSMUSG00000053166,Cdh22,2.8788239688,-0.39795859,29.9743687643506,4.377951506e-8,3.90344682489e-6,UP,cadherin 22
1748,ENSMUSG00000020057,Dram1,1.5879861433,1.94999497,29.946433000709,4.441481994e-8,3.93564654549e-6,UP,DNA-damage regulated autophagy modulator 1
9034,ENSMUSG00000041220,Elovl6,4.933462773,4.29289121,29.8746869283539,4.608908909e-8,4.05895014742e-6,UP,"ELOVL family member 6, elongation of long chain fatty acids (yeast)"
11333,ENSMUSG00000059824,Dbp,-1.6571131384,5.89846576,29.7588494446253,4.892677896e-8,4.28258482916e-6,DOWN,D site albumin promoter binding protein
6920,ENSMUSG00000033059,Pygb,1.0785936524,3.09422601,29.6323227366022,5.222674355e-8,4.54372668937e-6,UP,brain glycogen phosphorylase
1699,ENSMUSG00000019929,Dcn,0.9351199079,7.52440837,29.4921994822676,5.614220683e-8,4.85494806693e-6,UP,decorin
10465,ENSMUSG00000051279,Gdf6,2.964396908,-0.63249258,29.1429812890656,6.722884912e-8,5.77886304902e-6,UP,growth differentiation factor 6
2436,ENSMUSG00000021559,Dapk1,1.5269843365,2.39224081,29.0804745901918,6.943324803e-8,5.93282306877e-6,UP,death associated protein kinase 1
4836,ENSMUSG00000027947,Il6ra,1.6272112669,3.69308925,29.043272340157,7.07794758e-8,5.97670220669e-6,UP,"interleukin 6 receptor, alpha"
10967,ENSMUSG00000055980,Irs1,-0.9676945053,6.63763224,29.0507328269767,7.050742477e-8,5.97670220669e-6,DOWN,insulin receptor substrate 1
7832,ENSMUSG00000036896,C1qc,1.5133708797,3.39794656,28.8411000471558,7.856608695e-8,6.59541624695e-6,UP,"complement component 1, q subcomponent, C chain"
8488,ENSMUSG00000039109,F13a1,1.5471262359,3.44916098,28.6358531448929,8.734980556e-8,7.29015383105e-6,UP,"coagulation factor XIII, A1 subunit"
4322,ENSMUSG00000026697,Myoc,1.1385898802,5.55331078,28.6200429645011,8.806590455e-8,7.30743387241e-6,UP,myocilin
1988,ENSMUSG00000020532,Acaca,1.8498894753,5.32744526,28.5375440855055,9.189911852e-8,7.58167727792e-6,UP,acetyl-Coenzyme A carboxylase alpha
12253,ENSMUSG00000073418,C4b,1.8697777984,3.93168321,28.4933432450652,9.402119045e-8,7.71242393673e-6,UP,complement component 4B (Chido blood group)
5429,ENSMUSG00000029195,Klb,4.0017472473,0.02512169,28.4774515214893,9.479609052e-8,7.73180613379e-6,UP,klotho beta
5307,ENSMUSG00000028967,Errfi1,0.9774583653,5.26009548,28.4611499000429,9.559762768e-8,7.75312963521e-6,UP,ERBB receptor feedback inhibitor 1
