ID,Term_Description,Fold_Enrichment,occurrence,lowest_p,highest_p,Up_regulated,Down_regulated,Cluster,Status
mmu04664,Fc epsilon RI signaling pathway,1.801001082251082,10,2.7991004227619235e-5,0.0038913030631322247,PIK3CD,PIK3R1,2,Member
mmu05221,Acute myeloid leukemia,3.602002164502164,10,2.7991004227619235e-5,0.0038913030631322247,PIK3CD,"PIK3R1, ZBTB16, CEBPA",2,Member
mmu05230,Central carbon metabolism in cancer,3.548240938166311,10,2.8212998388209122e-5,2.4116929878395692e-4,"PGAM1, PIK3CD","SLC1A5, PIK3R1",2,Member
mmu04662,B cell receptor signaling pathway,2.4424535225048922,10,3.293300789702724e-5,0.004076156313052964,"NFATC2, PIK3CD",PIK3R1,2,Member
mmu05220,Chronic myeloid leukemia,2.3773214285714284,10,3.458961646000202e-5,0.004172392132543412,PIK3CD,"PIK3R1, GADD45A",2,Member
mmu04926,Relaxin signaling pathway,2.3398832958380202,10,4.4787458272040416e-5,6.128810079331846e-5,"VEGFA, PIK3CD, COL3A1, COL4A1",PIK3R1,2,Member
mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,2.049415024630542,10,4.734434069533247e-5,4.853882482648596e-4,"PIK3CD, NFATC2",PIK3R1,2,Member
mmu05210,Colorectal cancer,2.0261262175324672,10,4.734434069533247e-5,4.890467162495448e-4,PIK3CD,"PIK3R1, GADD45A",2,Member
mmu04666,Fc gamma R-mediated phagocytosis,2.671147672552167,10,4.734434069533247e-5,7.243378377347505e-4,"PIK3CD, PLPP1","PIK3R1, GSN",2,Member
mmu04914,Progesterone-mediated oocyte maturation,2.003360754414125,10,4.734434069533247e-5,0.0050040276911912235,PIK3CD,"PIK3R1, CPEB3",2,Member
mmu05222,Small cell lung cancer,3.9622023809523808,10,4.771298507183259e-5,0.0050040276911912235,"COL4A1, ITGA6, PIK3CD","GADD45A, CKS1B, PIK3R1",2,Member
mmu04620,Toll-like receptor signaling pathway,1.2381882440476188,10,5.514198285258975e-5,0.005319248486024226,PIK3CD,PIK3R1,2,Member
mmu04660,T cell receptor signaling pathway,1.7653376944837338,10,6.127211021176713e-5,0.005619508479013488,"NFATC2, PIK3CD",PIK3R1,2,Member
mmu05142,Chagas disease (American trypanosomiasis),1.748030462184874,10,6.16836152162964e-5,0.005619508479013488,PIK3CD,"C3, PIK3R1",2,Member
mmu04625,C-type lectin receptor signaling pathway,2.2217957276368487,10,6.966240301183908e-5,0.0010919321709446466,"CALM2, NFATC2, PIK3CD",PIK3R1,2,Member
mmu04668,TNF signaling pathway,1.0708655083655083,10,7.448710928012724e-5,0.005913568570983014,PIK3CD,PIK3R1,2,Member
mmu04725,Cholinergic synapse,1.0613042091836735,10,7.492995209201086e-5,9.154497887096495e-4,PIK3CD,PIK3R1,2,Member
mmu05226,Gastric cancer,2.049415024630542,10,8.222167725744053e-5,8.222167725744053e-5,"FZD9, PIK3CD","GADD45A, PIK3R1, GAB1",2,Member
mmu04919,Thyroid hormone signaling pathway,1.5239239926739925,10,8.370270806490027e-5,0.001322370981830567,"ATP1B4, PIK3CD",PIK3R1,2,Member
mmu04380,Osteoclast differentiation,2.476376488095238,10,8.67785578327136e-5,0.002212853224734197,"PIK3CD, NFATC2, JUND","PIK3R1, ACP5",2,Member
mmu05135,Yersinia infection,1.4858258928571426,10,8.67785578327136e-5,0.001322370981830567,"PIK3CD, NFATC2",PIK3R1,2,Member
mmu04071,Sphingolipid signaling pathway,0.9743120608899296,10,8.944329770305157e-5,0.006528665704122281,PIK3CD,PIK3R1,2,Member
mmu04611,Platelet activation,1.4495862369337977,10,8.993428615661687e-5,0.0013576671916667757,"COL3A1, PIK3CD",PIK3R1,2,Member
mmu04210,Apoptosis,1.3610618865866957,10,1.0284335735693424e-4,0.006935002148602599,PIK3CD,"GADD45A, PIK3R1",2,Member
mmu04550,Signaling pathways regulating pluripotency of stem cells,3.1047108208955225,10,1.0814184365889853e-4,0.0014362646573147487,"KLF4, PIK3CD, ID1, FZD9, SKIL","PIK3R1, ACVR1B",2,Member
mmu05224,Breast cancer,1.6395320197044334,10,1.259505487863532e-4,0.0017055515216901284,"PIK3CD, FZD9","PIK3R1, GADD45A",2,Member
mmu05225,Hepatocellular carcinoma,1.7688403486394557,10,1.3603527535271847e-4,1.3603527535271847e-4,"PIK3CD, FZD9","PIK3R1, GADD45A, GAB1",2,Member
mmu05160,Hepatitis C,1.180788789025544,10,1.3995727882196935e-4,0.0018826569748974355,"OAS2, PIK3CD",PIK3R1,2,Member
mmu05164,Influenza A,1.114369419642857,10,1.5887153528388093e-4,0.0021327532537973887,"OAS2, PIK3CD",PIK3R1,2,Member
mmu05161,Hepatitis B,1.1074478704525288,10,1.594446774028232e-4,0.0021327532537973887,"PIK3CD, NFATC2",PIK3R1,2,Member
mmu04360,Axon guidance,2.0377040816326533,10,1.8663329012765062e-4,2.770799218048242e-4,"NFATC2, CXCL12, PIK3CD","NTN1, SLIT3, PIK3R1",2,Member
mmu05169,Epstein-Barr virus infection,1.4425494105409156,10,3.0969013339245854e-4,0.010053661173061341,"OAS2, PIK3CD","H2-Q10, GADD45A, PIK3R1",2,Member
mmu04024,cAMP signaling pathway,1.6741700201207241,10,3.284173622129157e-4,0.013780826576568444,"CALM2, PIK3CD, ATP1B4, PDE10A","PTGER3, PIK3R1",2,Member
mmu05170,Human immunodeficiency virus 1 infection,1.395141683433937,10,3.284173622129157e-4,0.010053661173061341,"PIK3CD, CALM2, NFATC2","PIK3R1, H2-Q10",2,Member
mmu04070,Phosphatidylinositol signaling system,2.612441130298273,10,3.875870161036076e-4,5.135527963372802e-4,"PIK3CD, ITPKB, CALM2",PIK3R1,2,Member
mmu05166,Human T-cell leukemia virus 1 infection,1.3033560463659148,10,3.917010846647276e-4,0.007540245879796006,"NFATC2, PIK3CD, ETS1","H2-Q10, PIK3R1",2,Member
mmu04670,Leukocyte transendothelial migration,1.6509176587301588,10,5.800668984266845e-4,0.005913568570983014,"PIK3CD, CXCL12",PIK3R1,2,Member
mmu05168,Herpes simplex virus 1 infection,1.0651081669226832,10,6.951641408512514e-4,0.00729354862895316,"OAS2, PIK3CD","C3, H2-Q10, PIK3R1",2,Member
mmu04650,Natural killer cell mediated cytotoxicity,1.635771625163827,10,0.0012562376152035367,0.005913568570983014,"PIK3CD, NFATC2",PIK3R1,2,Member
mmu04750,Inflammatory mediator regulation of TRP channels,1.426392857142857,10,0.0013751396699846392,0.006468455929819433,"CALM2, PIK3CD",PIK3R1,2,Member
mmu05146,Amoebiasis,2.885098821081831,10,0.003278046612757868,0.005465295203623646,"COL4A1, COL3A1, PIK3CD","CD1D1, PIK3R1",2,Member
mmu04932,Non-alcoholic fatty liver disease (NAFLD),4.127294146825396,10,5.521534770732024e-10,6.654744050366261e-8,"IRS1, IRS2, PIK3CD, MLXIPL","IL6RA, PIK3R1, LEP, LEPR, CEBPA, CYP2E1",3,Representative
mmu04630,JAK-STAT signaling pathway,2.6001953125000004,10,5.832230498488907e-8,7.867338886565854e-6,"PDGFB, FHL1, PIK3CD","LEP, IL6RA, LEPR, PIK3R1",3,Member
mmu04920,Adipocytokine signaling pathway,4.185425050301811,10,7.29073696922667e-8,4.5449588865610655e-7,"IRS1, IRS2","ACSL6, LEP, LEPR",3,Member
mmu04060,Cytokine-cytokine receptor interaction,2.0108921858216973,10,7.157703508853583e-4,0.002095837067302518,"CXCL12, TNFRSF12A, TNFRSF19","CXCL14, LEP, MSTN, LEPR, IL6RA, ACVR1B",3,Member
mmu04610,Complement and coagulation cascades,2.7325533661740558,10,2.00144285627265e-8,2.00144285627265e-8,,"CFD, C3, CFH, SERPING1",4,Representative
mmu05150,Staphylococcus aureus infection,2.8991724738675955,10,3.1388790679448463e-6,3.1388790679448463e-6,,"KRT18, C3, CFD, CFH",4,Member
mmu05140,Leishmaniasis,0.8870602345415778,10,0.03450463418936272,0.04058995229227698,,C3,4,Member
mmu05133,Pertussis,2.3460408834586466,10,0.03911531988408145,0.046561110360161036,CALM2,"C3, SERPING1",4,Member
mmu04974,Protein digestion and absorption,4.837572674418605,10,7.763947640923669e-7,7.763947640923669e-7,"ATP1B4, SLC8A1, COL3A1, COL4A1, COL5A3, COL15A1",SLC1A5,5,Representative
mmu04961,Endocrine and other factor-regulated calcium reabsorption,1.9811011904761902,10,0.042321332805079215,0.042321332805079215,"ATP1B4, SLC8A1",,5,Member
mmu03040,Spliceosome,2.285885989010989,10,1.420700014826273e-6,1.420700014826273e-6,"HSPA1L, HSPA1A, TRA2A","DDX46, RBMX",6,Representative
mmu05134,Legionellosis,3.1280545112781954,10,4.185324049876436e-4,4.185324049876436e-4,"HSPA1L, HSPA1A",C3,6,Member
mmu04612,Antigen processing and presentation,2.4763764880952377,10,5.265119184620789e-4,5.265119184620789e-4,"HSPA1L, HSPA1A",H2-Q10,6,Member
mmu04010,MAPK signaling pathway,2.254356527093596,10,7.721793931206324e-4,0.0011582690896809486,"PDGFB, VEGFA, KDR, JUND, DUSP8, HSPA1L, HSPA1A, NR4A1","MKNK1, GADD45A, MAP3K6",6,Member
mmu05145,Toxoplasmosis,1.6663467957276368,10,0.0014458345596365708,0.0014458345596365708,"HSPA1L, HSPA1A, ITGA6",,6,Member
mmu04141,Protein processing in endoplasmic reticulum,1.1730204417293233,10,0.0030951169576823195,0.0030951169576823195,"HSPA1L, HSPA1A",NPLOC4,6,Member
mmu04144,Endocytosis,0.9988745498199278,10,0.01038107317543259,0.01038107317543259,"HSPA1L, HSPA1A, PSD3",H2-Q10,6,Member
mmu05020,Prion diseases,1.748030462184874,8,0.049611044569573486,0.049611044569573486,HSPA1A,,6,Member
mmu04810,Regulation of actin cytoskeleton,2.232226693494299,10,1.3505284994581979e-5,2.574433946893623e-4,"CXCL12, PDGFB, ITGA6, ITGB6, PIK3CD, MYH10","PIK3R1, GSN",7,Representative
mmu05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),2.3460408834586466,1,3.890483379333584e-4,3.890483379333584e-4,"ITGA6, ITGB6, SLC8A1",,7,Member
mmu05410,Hypertrophic cardiomyopathy (HCM),1.9811011904761904,1,5.109880643406485e-4,5.109880643406485e-4,"ITGA6, ITGB6, SLC8A1",,7,Member
mmu05414,Dilated cardiomyopathy (DCM),1.9171947004608294,1,5.109880643406485e-4,5.109880643406485e-4,"ITGA6, ITGB6, SLC8A1",,7,Member
mmu05322,Systemic lupus erythematosus,2.085369674185464,2,5.530061335469842e-5,5.530061335469842e-5,"H2BC6, H2BC4, H4C8",C3,8,Representative
mmu05034,Alcoholism,2.4329312865497075,2,1.410321357912538e-4,1.410321357912538e-4,"HDAC9, H2BC6, H2BC4, H4C8, CALM2","MAOB, HDAC4",8,Member
mmu05203,Viral carcinogenesis,2.9422294908062234,10,2.9035155784815677e-4,4.3901803211267087e-4,"PIK3CD, H2BC6, H2BC4, H4C8, HDAC9","PIK3R1, HDAC4, GSN, C3, H2-Q10",8,Member
mmu04115,p53 signaling pathway,3.6574175824175823,10,5.580774776430272e-4,7.560508620139904e-4,,"GADD45A, IGFBP3, THBS1, SESN1",9,Representative
mmu05202,Transcriptional misregulation in cancer,1.4584794040315512,10,0.002874095945917483,0.007551733131511869,,"CEBPA, ZBTB16, IGFBP3, GADD45A",9,Member
mmu05216,Thyroid cancer,1.6062982625482625,10,0.006901190689509555,0.012065503075866615,,GADD45A,9,Member
mmu04110,Cell cycle,0.9743120608899296,10,0.008084825871381901,0.045425334189579905,,"TFDP2, GADD45A",9,Member
mmu05217,Basal cell carcinoma,1.8867630385487526,10,0.011252515132597373,0.022395387388508724,FZD9,GADD45A,9,Member
mmu04061,Viral protein interaction with cytokine and cytokine receptor,2.073245431893688,7,8.110499049597599e-4,8.110499049597599e-4,CXCL12,"CXCL14, IL6RA",10,Representative
mmu05323,Rheumatoid arthritis,2.1226084183673466,10,0.002095837067302518,0.002095837067302518,"CXCL12, VEGFA",ACP5,10,Member
mmu04672,Intestinal immune network for IgA production,1.4495862369337977,7,0.008704371267315198,0.008704371267315198,CXCL12,,10,Member
mmu04022,cGMP-PKG signaling pathway,2.4472426470588236,10,0.001653971171502073,0.008166482659291485,"NFATC2, KCNMA1, SLC8A1, ATP1B4, CALM2, IRS1, IRS2",,11,Representative
mmu04924,Renin secretion,1.6062982625482625,10,0.04439899476185929,0.04439899476185929,"KCNMA1, CALM2",,11,Member
mmu04970,Salivary secretion,2.3460408834586466,10,0.04439899476185929,0.04439899476185929,"CALM2, ATP1B4, KCNMA1",,11,Member
mmu00061,Fatty acid biosynthesis,9.90550595238095,10,0.0026557959866732998,0.0026557959866732998,,"ACACA, FASN, ACSL6",12,Representative
mmu00562,Inositol phosphate metabolism,1.6509176587301586,10,0.006526592540925962,0.008037219224585338,"PIK3CD, ITPKB",,13,Representative
mmu04020,Calcium signaling pathway,1.2578420256991685,10,0.04278428802071641,0.04278428802071641,"SLC8A1, CALM2, ITPKB",PTGER3,13,Member
mmu04137,Mitophagy - animal,0.9433815192743763,9,0.006879981744127983,0.022395387388508724,,FOXO3,14,Representative
mmu05416,Viral myocarditis,0.8490433673469387,1,0.009824317639005955,0.009824317639005955,,H2-Q10,15,Representative
mmu00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,5.943303571428571,1,0.010126888784708299,0.010126888784708299,,"CHPF2, DSE",16,Representative
mmu04657,IL-17 signaling pathway,0.6831383415435139,9,0.011572362651315683,0.017884560461124233,JUND,,17,Representative
mmu04659,Th17 cell differentiation,1.1768917963224892,10,0.012363056227474462,0.01891580900620188,NFATC2,IL6RA,18,Representative
mmu04658,Th1 and Th2 cell differentiation,0.6910818106312292,9,0.017884560461124233,0.017884560461124233,NFATC2,,18,Member
mmu04921,Oxytocin signaling pathway,0.7871925260170293,9,0.030944162851724976,0.030944162851724976,"CALM2, NFATC2",,18,Member
mmu04310,Wnt signaling pathway,1.1429429945054943,9,0.03135113843585123,0.03135113843585123,"FZD9, NFATC2",SERPINF1,18,Member
mmu04540,Gap junction,0.7075361394557822,10,0.012701117166643048,0.012701117166643048,PDGFB,,19,Representative
mmu04350,TGF-beta signaling pathway,3.9186616954474096,10,0.014615634060888802,0.017478894449457022,"FBN1, ID1","THBS1, DCN, FMOD, ACVR1B",20,Representative
mmu04640,Hematopoietic cell lineage,2.073245431893688,10,0.02436496208956184,0.03441948943395762,ITGA6,"CD1D1, IL6RA",21,Representative
mmu04530,Tight junction,1.180788789025544,1,0.028112343013151315,0.028112343013151315,"MYH3, MYH10",CD1D1,21,Member
mmu04927,Cortisol synthesis and secretion,0.874015231092437,10,0.04439899476185929,0.04439899476185929,NR4A1,,22,Representative
