ID,Term_Description,Fold_Enrichment,occurrence,lowest_p,highest_p,Up_regulated,Down_regulated,Cluster,Status
mmu05214,Glioma,2.5978612964914336,10,3.9221353213439765e-7,7.022515143100962e-6,"CDKN1A, GADD45A","IGF1, PIK3CD, CCND1",6,Member
mmu05210,Colorectal cancer,2.15504403004403,10,8.444701496571646e-7,1.2276050437235318e-5,"CDKN1A, GADD45A","CCND1, PIK3CD, SMAD3",6,Member
mmu05222,Small cell lung cancer,2.528584995251662,10,8.733942238525921e-7,3.20880468485581e-4,"CDKN1A, GADD45A, BCL2L1","CCND1, LAMA4, PIK3CD",6,Member
mmu05216,Thyroid cancer,3.075306075306076,10,1.5217742589327681e-6,3.7775292072365403e-4,"CDKN1A, GADD45A",CCND1,6,Member
mmu05226,Gastric cancer,1.831044306906376,10,7.31317400424803e-6,6.317945351418472e-5,"CDKN1A, GADD45A","WNT5A, FZD10, CCND1, PIK3CD, SMAD3",6,Member
mmu05169,Epstein-Barr virus infection,1.472962133156308,10,3.366160115282469e-5,2.2219840601787828e-4,"PSMD4, CDKN1A, GADD45A","HES1, PIK3CD, MAP2K6, TNFAIP3, CCND1",6,Member
mmu05203,Viral carcinogenesis,0.7510648500747511,10,1.0254221485603983e-4,0.001192895894649062,"CDKN1A, RBL2","PIK3CD, CCND1",6,Member
mmu04066,HIF-1 signaling pathway,2.7336054002720673,10,5.392666634916358e-9,9.715166386261536e-5,"IL6RA, EIF4EBP1, HMOX1, CDKN1A","IGF1, PIK3CD, TFRC, HK2",7,Representative
mmu05219,Bladder cancer,3.7928774928774933,10,7.441359158845096e-9,2.2801495439720703e-4,"FGFR3, RASSF1, CDKN1A",CCND1,8,Representative
mmu05206,MicroRNAs in cancer,2.415845536864645,10,5.0122659512912727e-8,0.002445806780806948,"PIM1, CYP1B1, RASSF1, DDIT4, HMOX1, CDKN1A, FGFR3","CCND1, DNMT3A, PIK3CD",8,Member
mmu04152,AMPK signaling pathway,4.07499234771962,10,7.962040967177096e-9,3.788492554068587e-5,"FBP2, FOXO1, FOXO3, MLYCD, RAB11B, EIF4EBP1, ULK1","CCND1, FASN, ACACA, SCD1, IGF1, PIK3CD",9,Representative
mmu04115,p53 signaling pathway,4.668156914310761,10,1.3025261229159068e-8,1.76051903139801e-5,"CDKN1A, GADD45A, BCL2L1, SIAH1A, SESN1","CCND1, IGF1, STEAP3",10,Representative
mmu05224,Breast cancer,2.615777581294823,10,1.9659617172397217e-8,2.7495155219049734e-6,"CDKN1A, GADD45A","ESR1, CCND1, IGF1, KIT, PIK3CD, HES1, WNT5A, FZD10",11,Representative
mmu05205,Proteoglycans in cancer,2.086082621082621,10,1.4444992708434517e-6,3.473524232876975e-6,"SLC9A1, CDKN1A, SDC4, CTSL","ESR1, CCND1, PIK3CD, IGF1, COL1A1, FZD10, WNT5A",11,Member
mmu04211,Longevity regulating pathway,4.214308325419436,10,4.4307498532047805e-8,4.43074985320478e-7,"FOXO1, FOXO3, CAT, ULK1, EIF4EBP1, SESN1","IGF1, PIK3CD, ADCY7, ADCY9",12,Representative
mmu04213,Longevity regulating pathway - multiple species,4.2822810403455565,10,3.6943634233090975e-7,2.4013362251509135e-6,"FOXO1, FOXO3, CAT","IGF1, PIK3CD, ADCY7, ADCY9",12,Member
mmu04062,Chemokine signaling pathway,1.0594629868372885,10,8.909965025970914e-5,1.7819930051941828e-4,FOXO3,"JAK2, ADCY7, ADCY9, PIK3CD",12,Member
mmu04935,"Growth hormone synthesis, secretion and action",2.3087080391428216,10,1.6059891637364913e-4,3.312197303104852e-4,,"ADCY7, ADCY9, JAK2, PIK3CD, IGF1, SOCS2, MAP2K6",12,Member
mmu04725,Cholinergic synapse,1.3545991045991048,10,2.1872601617295822e-4,3.2808902425943734e-4,,"ADCY7, ADCY9, JAK2, PIK3CD",12,Member
mmu04915,Estrogen signaling pathway,1.4587990357221128,10,3.286803091148844e-4,4.930204636723265e-4,FKBP5,"ESR1, ADCY7, ADCY9, PIK3CD",12,Member
mmu04923,Regulation of lipolysis in adipocytes,2.7091982091982096,10,6.604184148051825e-4,9.08075320357126e-4,PNPLA2,"ADCY7, ADCY9, PIK3CD",12,Member
mmu04914,Progesterone-mediated oocyte maturation,1.7046640417426937,10,0.0014428185592038076,0.002468373602246233,,"PIK3CD, ADCY7, ADCY9, IGF1",12,Member
mmu04750,Inflammatory mediator regulation of TRP channels,1.8205811965811967,10,0.001993952521477727,0.002640385846996798,BDKRB2,"MAP2K6, PIK3CD, ADCY7, ADCY9, IGF1",12,Member
mmu04114,Oocyte meiosis,0.9809165929855586,10,0.003620046397143166,0.004316539410378537,,"IGF1, ADCY7, ADCY9",12,Member
mmu04014,Ras signaling pathway,1.174785064165595,10,2.006534546638144e-7,0.0012629713134309321,"FGFR3, RASSF1, BCL2L1","IGF1, KIT, PIK3CD, PLD2",13,Representative
mmu05221,Acute myeloid leukemia,3.4480704480704483,10,4.407479663142313e-7,0.00112631485176596,"EIF4EBP1, PIM1","KIT, PIK3CD, PER2, CCND1",14,Representative
mmu04910,Insulin signaling pathway,3.3222284609145927,10,5.58632342210779e-7,0.0019062451661485099,"PPP1R3C, CBLB, GCK, FOXO1, FBP2, EIF4EBP1, PTPN1","PIK3CD, ACACA, FASN, HK2, SOCS2",15,Representative
mmu04922,Glucagon signaling pathway,1.4587990357221126,10,0.03325168721124699,0.037503385458282766,"FOXO1, GCK, FBP2",ACACA,15,Member
mmu05202,Transcriptional misregulation in cancer,2.094226836558125,10,6.386185724647631e-7,0.001461625767389394,"BCL2L1, CDKN1A, NR4A3, FOXO1, GADD45A","PER2, BCL6, IGF1, MLF1",16,Representative
mmu04933,AGE-RAGE signaling pathway in diabetic complications,4.130856675411131,10,1.7630140177530282e-6,4.897005029246382e-6,"PLCD3, FOXO1, PIM1","SMAD3, COL1A1, COL3A1, PLCD4, PIK3CD, JAK2, CCND1, EGR1",17,Representative
mmu04659,Th17 cell differentiation,1.5021297001495022,10,1.7630140177530282e-6,0.004530797806540227,"IL6RA, RORC","SMAD3, JAK2",18,Representative
mmu05321,Inflammatory bowel disease (IBD),1.3078887906474113,6,6.251006040386597e-4,0.0010260858922531888,RORC,SMAD3,18,Member
mmu05166,Human T-cell leukemia virus 1 infection,1.4971884840305894,10,2.1897600072681254e-6,1.4851679216719904e-4,"CDKN1A, BCL2L1","NRP1, CCND1, PIK3CD, SMAD3, ADCY7, ADCY9, EGR1",19,Representative
mmu05163,Human cytomegalovirus infection,1.2967102539752111,10,1.0940283684699973e-4,0.004024889613303955,"EIF4EBP1, IL6RA, CDKN1A","PIK3CD, ADCY7, ADCY9, CCND1, MAP2K6",19,Member
mmu04921,Oxytocin signaling pathway,1.255919699628309,10,0.0011122807425155703,0.007233157074866258,CDKN1A,"CCND1, CACNA2D4, ADCY7, ADCY9",19,Member
mmu04360,Axon guidance,1.517150997150997,10,2.378957406681585e-6,2.378957406681585e-6,PARD6B,"SRGAP3, PLXNA4, NRP1, SEMA6C, WNT5A, PIK3CD",20,Representative
mmu05230,Central carbon metabolism in cancer,2.8305055916996213,10,2.9233643977483046e-6,5.309812192478564e-5,"GCK, FGFR3","KIT, HK2, PIK3CD",21,Representative
mmu04930,Type II diabetes mellitus,3.950914055080722,10,0.004318057743008877,0.00763071776260233,GCK,"PIK3CD, SOCS2, MAFA, HK2",21,Member
mmu00524,"Neomycin, kanamycin and gentamicin biosynthesis",15.171509971509973,5,0.02767283325425422,0.028831390684831003,GCK,HK2,21,Member
mmu05167,Kaposi sarcoma-associated herpesvirus infection,1.1610849467992326,10,3.167627948954503e-6,0.004089707664867909,"CDKN1A, GABARAPL1","MAP2K6, PIK3CD, JAK2, CCND1",22,Representative
mmu05161,Hepatitis B,1.1779122648687865,10,4.614804401325524e-5,0.0030103308804152627,CDKN1A,"SMAD3, PIK3CD, JAK2, MAP2K6",22,Member
mmu05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,1.3078887906474115,10,2.672765488127729e-4,8.849416770229858e-4,,"PIK3CD, JAK2, MAP2K6",22,Member
mmu05135,Yersinia infection,1.264292497625831,10,4.4405416876814685e-4,4.4405416876814685e-4,,"ITGA4, WIPF3, MAP2K6, PIK3CD",22,Member
mmu04664,Fc epsilon RI signaling pathway,1.1493568160234826,10,0.0025378628468114795,0.0025378628468114795,,"PIK3CD, MAP2K6",22,Member
mmu05170,Human immunodeficiency virus 1 infection,0.7122774634511724,10,0.002763497063555251,0.028712802452257956,BCL2L1,"PIK3CD, MAP2K6, WEE1",22,Member
mmu04620,Toll-like receptor signaling pathway,0.7901828110161444,10,0.006232858941358782,0.006232858941358782,,"PIK3CD, MAP2K6",22,Member
mmu04380,Osteoclast differentiation,0.9482193732193732,10,0.010071754177061121,0.010071754177061121,SQSTM1,"PIK3CD, MAP2K6",22,Member
mmu04668,TNF signaling pathway,1.0251020251020253,10,0.01727269740363388,0.02093187887822855,,"MAP2K6, TNFAIP3, PIK3CD",22,Member
mmu04015,Rap1 signaling pathway,1.780693658627931,10,3.860597607808882e-6,3.860597607808882e-6,"FGFR3, ID1, PARD6B","DOCK4, ADCY7, ADCY9, IGF1, KIT, MAP2K6, PIK3CD",23,Representative
mmu04919,Thyroid hormone signaling pathway,2.2692429444566193,10,4.953641141273116e-6,9.024748404592261e-5,"PLCD3, SLC9A1, FOXO1","ESR1, CCND1, PLCD4, PIK3CD",24,Representative
mmu04070,Phosphatidylinositol signaling system,1.2503991734760966,10,0.0018860851052409733,0.0018860851052409733,PLCD3,"PIK3CD, PLCD4",24,Member
mmu00562,Inositol phosphate metabolism,1.5803656220322888,10,0.03153062926568094,0.03153062926568094,PLCD3,"PIK3CD, PLCD4",24,Member
mmu04979,Cholesterol metabolism,4.741096866096867,10,1.5224833733622876e-5,0.0016387754075738743,"ABCA1, APOC1, ANGPTL4, CYP27A1, NPC1",SCARB1,25,Representative
mmu04550,Signaling pathways regulating pluripotency of stem cells,2.547455032529659,10,2.589168886219178e-5,2.9068340165381445e-4,"ID1, FGFR3","JAK2, PIK3CD, SMAD3, WNT5A, FZD10, IGF1, JARID2",26,Representative
mmu05160,Hepatitis C,1.507103639553971,10,3.70716245192449e-5,0.002173932917601147,"CLDN5, CLDN15, CDKN1A","SCARB1, PIK3CD, CCND1",27,Representative
mmu04670,Leukocyte transendothelial migration,1.7559618022580987,10,0.01714915738055913,0.020800508202723167,"CLDN5, CLDN15","ITGA4, PIK3CD, THY1",27,Member
mmu04012,ErbB signaling pathway,1.8730259224086385,10,3.7175171073609694e-5,7.631807966609728e-4,"CBLB, EIF4EBP1, CDKN1A",PIK3CD,28,Representative
mmu05162,Measles,1.364344421898379,10,2.7283619974073756e-4,0.0019062451661485099,"BCL2L1, CBLB","TNFAIP3, CCND1, PIK3CD",28,Member
mmu04660,T cell receptor signaling pathway,0.7510648500747511,10,0.00155532126396841,0.0020622224239554886,CBLB,PIK3CD,28,Member
mmu04625,C-type lectin receptor signaling pathway,0.708949064089251,10,0.001674295995448458,0.0022193473374397693,CBLB,PIK3CD,28,Member
mmu04371,Apelin signaling pathway,2.7888805094687448,10,6.1035140972093835e-5,5.436763812099969e-4,"SLC9A1, GABARAPL1","ADCY7, ADCY9, APLN, APLNR, EGR1, CCND1, SPHK2, SMAD3",29,Representative
mmu04927,Cortisol synthesis and secretion,2.7888805094687448,10,8.909965025970914e-5,1.484319045945202e-4,"NR4A1, CACNA1I","ADCY7, ADCY9, SCARB1",30,Representative
mmu04925,Aldosterone synthesis and secretion,1.8964387464387464,10,1.6084495419091865e-4,2.613730505602428e-4,"CACNA1I, NR4A1","SCARB1, ADCY7, ADCY9",30,Member
mmu04934,Cushing syndrome,2.1742609831781805,10,6.210720969692654e-4,8.872458528132362e-4,"CDKN1A, NR4A1, CACNA1I","ADCY7, ADCY9, CCND1, SCARB1, WNT5A, FZD10",30,Member
mmu04976,Bile secretion,2.7484619513605018,10,8.909965025970914e-5,0.00141880614556962,SLC9A1,"SCARB1, ADCY7, ADCY9, AQP4",31,Representative
mmu04971,Gastric acid secretion,1.5587167778948603,10,8.909965025970914e-5,0.0014620402612482042,SLC9A1,"ADCY7, ADCY9",31,Member
mmu04970,Salivary secretion,1.4971884840305894,10,8.909965025970914e-5,0.001576951449366774,SLC9A1,"ADCY7, ADCY9",31,Member
mmu04540,Gap junction,1.8061321394654728,10,1.1576510385746714e-4,1.8760941289502916e-4,,"GJA1, TUBA1A, ADCY7, ADCY9",31,Member
mmu04727,GABAergic synapse,1.7438517208632152,10,1.1938780820592764e-4,1.8760941289502916e-4,GABARAPL1,"GABRA3, ADCY7, ADCY9",31,Member
mmu05032,Morphine addiction,1.7046640417426937,10,1.1938780820592764e-4,1.8760941289502916e-4,,"ADCY7, ADCY9, GABRA3, PDE4A",31,Member
mmu04261,Adrenergic signaling in cardiomyocytes,1.0251020251020253,10,5.186931071518096e-4,0.006000788413291139,SLC9A1,"ADCY7, ADCY9, CACNA2D4",31,Member
mmu04918,Thyroid hormone synthesis,1.5803656220322888,10,0.0011872078209407902,0.0014620402612482042,ALB,"ADCY7, ADCY9",31,Member
mmu04911,Insulin secretion,1.3230967998409862,10,0.001940185539765215,0.0023173727187410956,GCK,"ADCY7, ADCY9",31,Member
mmu04972,Pancreatic secretion,1.137863247863248,10,0.002480598318291059,0.030963929047198326,SLC9A1,"ADCY7, ADCY9",31,Member
mmu00230,Purine metabolism,1.425893794314847,10,0.004611087866310054,0.005493020843509754,"IMPDH2, PRUNE1","ADCY7, ADCY9, PDE4A",31,Member
mmu04723,Retrograde endocannabinoid signaling,0.8428616650838874,10,0.004684452640988148,0.005579167656409262,,"ADCY7, ADCY9, GABRA3",31,Member
mmu04270,Vascular smooth muscle contraction,0.557776101893749,10,0.004684452640988148,0.005579167656409262,,"ADCY7, ADCY9",31,Member
mmu04022,cGMP-PKG signaling pathway,0.6693313222724988,6,0.014132054611576142,0.014132054611576142,BDKRB2,"ADCY7, ADCY9",31,Member
mmu04931,Insulin resistance,1.7723726602231276,10,1.092825679353434e-4,0.0012248308109128133,"PPP1R3C, PTPN1, FOXO1","PIK3CD, MLXIPL",32,Representative
mmu04932,Non-alcoholic fatty liver disease (NAFLD),0.7901828110161444,10,0.02460001714244788,0.029311673788445743,IL6RA,"PIK3CD, MLXIPL",32,Member
mmu05211,Renal cell carcinoma,1.7240352240352241,10,0.00012661676939534385,0.01111207284009331,"CDKN1A, FLCN",PIK3CD,33,Representative
mmu04144,Endocytosis,1.4342814048696402,10,1.2961723232666157e-4,7.631807966609728e-4,"FGFR3, CBLB, RAB11B, PARD6B","PLD2, SMAD3, TFRC, SH3KBP1, WIPF3",34,Representative
mmu04024,cAMP signaling pathway,1.0684161951767586,10,1.393673774507838e-4,0.0016950741879196356,SLC9A1,"ADCY7, ADCY9, PLD2, PIK3CD, PDE4A",35,Representative
mmu04072,Phospholipase D signaling pathway,1.6255189255189257,10,3.7011487900481045e-4,3.7011487900481045e-4,,"KIT, PIK3CD, PLD2, SPHK2, ADCY7, ADCY9",35,Member
mmu04912,GnRH signaling pathway,2.107154162709718,10,0.0020670729775293384,0.002468373602246233,,"ADCY7, ADCY9, MAP2K6, PLD2, EGR1",35,Member
mmu04724,Glutamatergic synapse,1.3668027001360337,10,0.003274158331111283,0.0039051975595331533,,"PLD2, ADCY7, ADCY9, SLC1A3",35,Member
mmu04210,Apoptosis,2.026728431308584,10,1.479631480917467e-4,0.02573653806700682,"CTSL, BCL2L1, DAXX, GADD45A","TNFSF10, TUBA1A, PIK3CD",36,Representative
mmu04928,"Parathyroid hormone synthesis, secretion and action",3.282297830374753,10,1.7459022758413065e-4,2.7158479846420324e-4,CDKN1A,"CASR, ADCY7, ADCY9, MAFB, EGR1, PTHLH, PDE4A, PLD2",37,Representative
mmu04973,Carbohydrate digestion and absorption,1.8061321394654728,10,2.1425871213566028e-4,0.006207166696607358,,"HK2, PIK3CD",38,Representative
mmu05142,Chagas disease (American trypanosomiasis),0.7437014691916652,10,0.00155532126396841,0.0020622224239554886,BDKRB2,PIK3CD,38,Member
mmu04722,Neurotrophin signaling pathway,0.6374584021642845,10,0.003130779922905728,0.023295321402862314,FOXO3,PIK3CD,38,Member
mmu04929,GnRH secretion,1.2235088686701592,10,0.005486098696954713,0.010797467291471158,CACNA1I,PIK3CD,38,Member
mmu04662,B cell receptor signaling pathway,0.5195722592982868,10,0.006947426787353429,0.011386060568162564,,PIK3CD,38,Member
mmu05100,Bacterial invasion of epithelial cells,0.5926371082621082,10,0.009083305957300771,0.01111207284009331,,PIK3CD,38,Member
mmu04137,Mitophagy - animal,4.816352371907927,10,2.2219840601787828e-4,0.0010314827854831887,"SQSTM1, GABARAPL1, BCL2L1, ULK1, FOXO3, TBC1D15, TBC1D17",CITED2,39,Representative
mmu05014,Amyotrophic lateral sclerosis (ALS),2.917598071444225,10,3.127322159798317e-4,0.028712802452257956,"BCL2L1, DAXX, CAT",MAP2K6,40,Representative
mmu05145,Toxoplasmosis,1.417898128178502,10,0.00279049332574743,0.042537488361362105,BCL2L1,"JAK2, MAP2K6, LAMA4",40,Member
mmu04080,Neuroactive ligand-receptor interaction,0.6959408243811914,8,3.184516026360484e-4,0.02903749965700857,"BDKRB2, CHRNA2","APLN, APLNR, MCHR1, GABRA3",41,Representative
mmu04150,mTOR signaling pathway,2.479004897305551,10,3.764718697191074e-4,0.0038315812660335014,"FLCN, ULK1, EIF4EBP1, DDIT4","FNIP1, WNT5A, FZD10, IGF1, PIK3CD, SGK1",42,Representative
mmu05217,Basal cell carcinoma,2.4081761859539634,10,5.164561798075222e-4,0.02501393491195842,"CDKN1A, GADD45A","WNT5A, FZD10",43,Representative
mmu04975,Fat digestion and absorption,2.9175980714442256,9,5.962217862063563e-4,7.933507382473972e-4,ABCA1,"SCARB1, ACAT2",44,Representative
mmu04977,Vitamin digestion and absorption,1.8061321394654728,9,0.013612512266705687,0.016319479223639653,,SCARB1,44,Member
mmu04913,Ovarian steroidogenesis,4.0637973137973145,10,6.604184148051825e-4,9.08075320357126e-4,"CYP1B1, ACOT2","ADCY7, ADCY9, IGF1, SCARB1",45,Representative
mmu04010,MAPK signaling pathway,1.4386776697121526,10,6.776027467560313e-4,0.005302541652616491,"CACNA1I, FGFR3, DAXX, GADD45A, MAP3K6, NR4A1","CACNA2D4, IGF1, KIT, MAP2K6, DUSP10",46,Representative
mmu04810,Regulation of actin cytoskeleton,1.2464855610395515,10,7.603977929547363e-4,0.00112631485176596,"FGFR3, BDKRB2, SLC9A1","ITGA4, ITGB6, FGD3, PIK3CD",47,Representative
mmu04020,Calcium signaling pathway,1.404769441806479,10,7.640198604871062e-4,7.640198604871062e-4,"CACNA1I, BDKRB2, PLCD3","ADCY7, ADCY9, PLCD4, SPHK2",48,Representative
mmu04961,Endocrine and other factor-regulated calcium reabsorption,1.8964387464387464,10,7.773727440916247e-4,0.0010517395949474922,BDKRB2,"ADCY9, ESR1",49,Representative
mmu04140,Autophagy - animal,2.491671345685944,10,8.917694866696406e-4,0.005579167656409262,"DDIT4, ULK1, SQSTM1, BCL2L1, ZFYVE1, GABARAPL1, CTSL","PIK3CD, TRP53INP2",50,Representative
mmu05231,Choline metabolism in cancer,1.8061321394654728,10,0.0012415694093605267,0.015440573810428803,"EIF4EBP1, CHKB","PIK3CD, PLD2",51,Representative
mmu04310,Wnt signaling pathway,1.2156658631017605,10,0.001398020843157766,0.002253687945359612,SIAH1A,"WNT5A, FZD10, CCND1, SMAD3",52,Representative
mmu04390,Hippo signaling pathway,2.245782726045884,10,0.002173932917601147,0.002173932917601147,"PARD6B, RASSF1, LLGL2, ID1","TEAD1, SMAD3, WNT5A, FZD10, CCND1",52,Member
mmu04640,Hematopoietic cell lineage,2.20516133306831,9,0.0015920004205331648,0.046144318437677044,IL6RA,"CD34, KIT, TFRC, ITGA4",53,Representative
mmu04666,Fc gamma R-mediated phagocytosis,1.2784980313070202,10,0.0018860851052409733,0.0018860851052409733,,"PIK3CD, PLD2, SPHK2",54,Representative
mmu04071,Sphingolipid signaling pathway,1.2435663911073747,10,0.0019528568131238079,0.0025864041594578467,BDKRB2,"PIK3CD, PLD2, SPHK2",54,Member
mmu04370,VEGF signaling pathway,1.3308342080271907,10,0.004817990125884497,0.010150984311734093,,"SPHK2, PIK3CD",54,Member
mmu04916,Melanogenesis,1.8964387464387464,10,0.0019327981502134518,0.0019327981502134518,,"ADCY7, ADCY9, WNT5A, FZD10, KIT",55,Representative
mmu05414,Dilated cardiomyopathy (DCM),2.8548540268970375,10,0.002201915772498495,0.002628951915614037,,"ITGA4, ITGB6, SGCD, ADCY7, ADCY9, CACNA2D4, IGF1",56,Representative
mmu05410,Hypertrophic cardiomyopathy (HCM),2.107154162709718,9,0.005581294820427596,0.046144318437677044,,"ITGA4, ITGB6, SGCD, CACNA2D4, IGF1",56,Member
mmu04960,Aldosterone-regulated sodium reabsorption,2.9943769680611787,10,0.002316638022193216,0.004779546511886828,,"SGK1, IGF1, PIK3CD",57,Representative
mmu04730,Long-term depression,0.6321462488129155,10,0.011901992396620157,0.02446207614882583,,IGF1,57,Member
mmu05168,Herpes simplex virus 1 infection,0.8156725791134394,10,0.002888160819438571,0.01222581750631852,"ZFP869, DAXX, EIF4EBP1, BCL2L1","JAK2, PIK3CD",58,Representative
mmu05164,Influenza A,0.9482193732193733,10,0.0030103308804152627,0.0039781949870858,RAB11B,"JAK2, PIK3CD, TNFSF10",59,Representative
mmu04650,Natural killer cell mediated cytotoxicity,0.6959408243811914,10,0.013506017469811758,0.020842528575515745,,"PIK3CD, TNFSF10",59,Member
mmu04611,Platelet activation,1.5418201190558913,10,0.004066016208048405,0.004846411361545225,,"ADCY7, ADCY9, COL1A1, COL3A1, PIK3CD",60,Representative
mmu04926,Relaxin signaling pathway,1.49325885546358,10,0.004236119067338387,0.005048030647473272,,"PIK3CD, COL1A1, COL3A1, ADCY7, ADCY9",60,Member
mmu05146,Amoebiasis,1.472962133156308,10,0.006715640360416325,0.010073460540624487,,"COL1A1, LAMA4, COL3A1, PIK3CD",60,Member
mmu05418,Fluid shear stress and atherosclerosis,1.8697283415593275,10,0.004540214177584607,0.014183492668280015,"SDC4, HMOX1, GSTA3, SQSTM1, CTSL","PIK3CD, MAP2K6",61,Representative
mmu04340,Hedgehog signaling pathway,0.8428616650838874,10,0.0053847146485829075,0.0053847146485829075,,CCND1,62,Representative
mmu04962,Vasopressin-regulated water reabsorption,2.6461935996819723,10,0.009231980323122349,0.010364715537556511,RAB11B,"ADCY9, AQP4",63,Representative
mmu05152,Tuberculosis,0.441032266613662,9,0.011387193249907815,0.01592179566113544,,"JAK2, SPHK2",64,Representative
mmu05140,Leishmaniasis,1.1322022366798488,9,0.022201297031193633,0.027734406832983713,,"ITGA4, JAK2",64,Member
mmu04920,Adipocytokine signaling pathway,1.0684161951767586,6,0.024240145006584276,0.0284730358935407,ACSL6,JAK2,64,Member
mmu04658,Th1 and Th2 cell differentiation,0.441032266613662,9,0.03177185725241894,0.03960372307986751,,JAK2,64,Member
mmu04520,Adherens junction,1.0684161951767586,10,0.011523720194653328,0.019311144206820906,PTPN1,SMAD3,65,Representative
mmu04714,Thermogenesis,0.9030660697327365,10,0.014411387863937659,0.01709404408069513,"PNPLA2, ACSL6","ADCY7, ADCY9, SLC25A29",66,Representative
mmu04120,Ubiquitin mediated proteolysis,1.1493568160234826,8,0.025766444092146484,0.025766444092146484,"UBE4A, CBLB, SIAH1A",RHOBTB1,67,Representative
